48,64/C6,100,128,PB03,EIC/EXTINT[3],-,ADC0/AIN[15],-,-,-,X21/Y21,-,SERCOM5/PAD[1],TC6/WO[1],-,-,-,-,-,-,-,-,-
1,01/B8,1,1,PA00,EIC/EXTINT[0],-,-,-,-,-,-,-,SERCOM1/PAD[0],TC2/WO[0],-,-,-,-,-,-,-,-,-
2,02/C8,2,2,PA01,EIC/EXTINT[1],-,-,-,-,-,-,-,SERCOM1/PAD[1],TC2/WO[1],-,-,-,-,-,-,-,-,-
-,-,3,3,PC00,EIC/EXTINT[0],-,-,ADC1/AIN[10],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,4,4,PC01,EIC/EXTINT[1],-,-,ADC1/AIN[11],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,5,7,PC02,EIC/EXTINT[2],-,-,ADC1/AIN[4],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,6,8,PC03,EIC/EXTINT[3],-,-,ADC1/AIN[5],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,03/C7,7,9,PA02,EIC/EXTINT[2],-,ADC0/AIN[0],-,-,DAC/VOUT[0],-,-,-,-,-,-,-,-,-,-,-,-,-
4,04/D6,8,10,PA03,EIC/EXTINT[3],ANAREF/VREFA,ADC0/AIN[1],-,-,-,X0/Y0,-,-,-,-,-,-,-,-,-,-,-,-
05/D7,9,11,PB04,EIC/EXTINT[4],-,-,ADC1/AIN[6],-,-,X21/Y21,-,-,-,-,-,-,-,-,-,-,-,-,-
06/D8,10,12,PB05,EIC/EXTINT[5],-,-,ADC1/AIN[7],-,-,X23/Y23,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,13,PD00,EIC/EXTINT[0],-,-,ADC1/AIN[14],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,16,PD01,EIC/EXTINT[1],-,-,ADC1/AIN[15],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09/E7,13,17,PB06,EIC/EXTINT[6],-,-,ADC1/AIN[8],-,-,X24/Y24,-,-,-,-,-,-,-,-,-,-,-,-,CCL/IN[6]
10/E6,14,18,PB07,EIC/EXTINT[7],-,-,ADC1/AIN[9],-,-,X25/Y25,-,-,-,-,-,-,-,-,-,-,-,-,CCL/IN[7]
7,11/F5,15,19,PB08,EIC/EXTINT[8],-,ADC0/AIN[2],ADC1/AIN[0],-,-,X1/Y1,-,SERCOM4/PAD[0],TC4/WO[0],-,-,-,-,-,-,-,-,CCL/IN[8]
8,12/F8,16,20,PB09,EIC/EXTINT[9],-,ADC0/AIN[3],ADC1/AIN[1],-,-,X2/Y2,-,SERCOM4/PAD[1],TC4/WO[1],-,-,-,-,-,-,-,-,CCL/OUT[2]
9,13/F7,17,21,PA04,EIC/EXTINT[4],ANAREF/VREFB,ADC0/AIN[4],-,AC/AIN[0],-,X3/Y3,-,SERCOM0/PAD[0],TC0/WO[0],-,-,-,-,-,-,-,-,CCL/IN[0]
10,14/F6,18,22,PA05,EIC/EXTINT[5],-,ADC0/AIN[5],-,AC/AIN[1],DAC/VOUT[1],-,-,SERCOM0/PAD[1],TC0/WO[1],-,-,-,-,-,-,-,-,CCL/IN[1]
11,15/G7,19,23,PA06,EIC/EXTINT[6],ANAREF/VREFC,ADC0/AIN[6],-,AC/AIN[2],-,X4/Y4,-,SERCOM0/PAD[2],TC1/WO[0],-,-,-,SDHC0/SDCD,-,-,-,-,CCL/IN[2]
12,16/G8,20,24,PA07,EIC/EXTINT[7],-,ADC0/AIN[7],-,AC/AIN[3],-,X5/Y5,-,SERCOM0/PAD[3],TC1/WO[1],-,-,-,SDHC0/SDWP,-,-,-,-,CCL/OUT[0]
-,-,-,27,PC04,EIC/EXTINT[4],-,-,-,-,-,SERCOM6/PAD[0],-,-,-,TCC0/WO[0],-,-,-,-,-,-,-,-
-,-,21,28,PC05,EIC/EXTINT[5],-,-,-,-,-,SERCOM6/PAD[1],-,-,-,-,-,-,-,-,-,-,-,-
